input,output,cycles taken 
1.7884 , -0.2928 , 976108
1.7984 , -0.3030 , 968381
1.8084 , -0.3132 , 971834
1.8184 , -0.3233 , 970587
1.8284 , -0.3334 , 971390
1.8384 , -0.3435 , 973740
1.8484 , -0.3535 , 976578
1.8584 , -0.3635 , 971339
1.8684 , -0.3734 , 974280
1.8784 , -0.3833 , 969609
1.8884 , -0.3932 , 958464
1.8984 , -0.4030 , 966464
1.9084 , -0.4127 , 961125
1.9184 , -0.4224 , 975453
1.9284 , -0.4321 , 958482
1.9384 , -0.4417 , 968700
1.9484 , -0.4512 , 964387
1.9584 , -0.4607 , 967901
1.9684 , -0.4702 , 965096
1.9784 , -0.4796 , 961820
1.9884 , -0.4889 , 962693
1.9984 , -0.4982 , 973454
2.0084 , -0.5075 , 971657
2.0184 , -0.5167 , 972499
2.0284 , -0.5258 , 967761
2.0384 , -0.5349 , 966836
2.0484 , -0.5439 , 970407
2.0584 , -0.5528 , 964738
2.0684 , -0.5617 , 966656
2.0784 , -0.5706 , 978245
2.0884 , -0.5793 , 970063
2.0984 , -0.5880 , 972346
2.1084 , -0.5967 , 975118
2.1184 , -0.6053 , 962228
2.1284 , -0.6138 , 974555
2.1384 , -0.6223 , 973226
2.1484 , -0.6307 , 968324
2.1584 , -0.6390 , 969115
2.1684 , -0.6473 , 972693
2.1784 , -0.6555 , 972771
2.1884 , -0.6636 , 966461
2.1984 , -0.6716 , 966561
2.2084 , -0.6796 , 975858
2.2184 , -0.6876 , 970750
2.2284 , -0.6954 , 974169
2.2384 , -0.7032 , 974432
2.2484 , -0.7109 , 976992
2.2584 , -0.7186 , 963364
2.2684 , -0.7262 , 972768
2.2784 , -0.7337 , 967812
2.2884 , -0.7411 , 967329
2.2984 , -0.7484 , 965653
2.3084 , -0.7557 , 964191
2.3184 , -0.7629 , 975196
2.3284 , -0.7701 , 961038
2.3384 , -0.7771 , 972431
2.3484 , -0.7841 , 963015
2.3584 , -0.7910 , 971622
2.3684 , -0.7979 , 969564
2.3784 , -0.8046 , 972531
2.3884 , -0.8113 , 972179
2.3984 , -0.8179 , 971813
2.4084 , -0.8244 , 971595
2.4184 , -0.8309 , 974535
2.4284 , -0.8373 , 963701
2.4384 , -0.8435 , 976525
2.4484 , -0.8498 , 962158
2.4584 , -0.8559 , 973538
2.4684 , -0.8619 , 970912
2.4784 , -0.8679 , 966728
2.4884 , -0.8738 , 961606
2.4984 , -0.8796 , 967881
2.5084 , -0.8853 , 973630
2.5184 , -0.8910 , 969449
2.5284 , -0.8965 , 971677
2.5384 , -0.9020 , 967147
2.5484 , -0.9074 , 970323
2.5584 , -0.9127 , 975085
2.5684 , -0.9179 , 978492
2.5784 , -0.9231 , 970369
2.5884 , -0.9281 , 975687
2.5984 , -0.9331 , 969796
2.6084 , -0.9380 , 973510
2.6184 , -0.9428 , 977184
2.6284 , -0.9475 , 972383
2.6384 , -0.9522 , 965879
2.6484 , -0.9567 , 973608
2.6584 , -0.9612 , 971290
2.6684 , -0.9655 , 963938
2.6784 , -0.9698 , 962425
2.6884 , -0.9740 , 980417
2.6984 , -0.9781 , 977278
2.7084 , -0.9821 , 968790
2.7184 , -0.9861 , 970216
2.7284 , -0.9899 , 970064
2.7384 , -0.9937 , 978033
2.7484 , -0.9973 , 967080
2.7584 , -1.0009 , 971531
2.7684 , -1.0044 , 970415
2.7784 , -1.0078 , 976863
2.7884 , -1.0111 , 979802
2.7984 , -1.0143 , 967403
2.8084 , -1.0174 , 972359
2.8184 , -1.0204 , 973354
2.8284 , -1.0234 , 968019
2.8384 , -1.0262 , 976831
2.8484 , -1.0289 , 973482
2.8584 , -1.0316 , 974465
2.8684 , -1.0342 , 974800
2.8784 , -1.0366 , 974309
2.8884 , -1.0390 , 974084
2.8984 , -1.0413 , 970478
2.9084 , -1.0435 , 969096
2.9184 , -1.0456 , 971524
2.9284 , -1.0476 , 975140
2.9384 , -1.0495 , 970024
2.9484 , -1.0513 , 978097
2.9584 , -1.0530 , 970250
2.9684 , -1.0546 , 975680
2.9784 , -1.0562 , 967761
2.9884 , -1.0576 , 972866
2.9984 , -1.0589 , 975331
3.0084 , -1.0602 , 970639
3.0184 , -1.0613 , 970938
3.0284 , -1.0623 , 977743
3.0384 , -1.0633 , 975472
3.0484 , -1.0641 , 964067
3.0584 , -1.0649 , 977589
3.0684 , -1.0655 , 970801
3.0784 , -1.0661 , 973370
3.0884 , -1.0665 , 970043
3.0984 , -1.0669 , 969872
3.1084 , -1.0672 , 970250
3.1184 , -1.0673 , 972685
3.1284 , -1.0674 , 978216
3.1384 , -1.0673 , 972796
