input,output,cycles taken 
-1.4716 , 0.1255 , 7209 
-1.4616 , 0.1362 , 7209 
-1.4516 , 0.1469 , 7209 
-1.4416 , 0.1575 , 7210 
-1.4316 , 0.1682 , 7209 
-1.4216 , 0.1788 , 7209 
-1.4116 , 0.1894 , 7209 
-1.4016 , 0.2000 , 7209 
-1.3916 , 0.2105 , 7209 
-1.3816 , 0.2210 , 7209 
-1.3716 , 0.2315 , 7209 
-1.3616 , 0.2419 , 7209 
-1.3516 , 0.2523 , 7209 
-1.3416 , 0.2627 , 7211 
-1.3316 , 0.2730 , 7209 
-1.3216 , 0.2833 , 7209 
-1.3116 , 0.2936 , 7209 
-1.3016 , 0.3038 , 7209 
-1.2916 , 0.3140 , 7211 
-1.2816 , 0.3241 , 8153 
-1.2716 , 0.3342 , 7209 
-1.2616 , 0.3442 , 7209 
-1.2516 , 0.3542 , 7209 
-1.2416 , 0.3642 , 7209 
-1.2316 , 0.3741 , 7210 
-1.2216 , 0.3840 , 7209 
-1.2116 , 0.3938 , 7209 
-1.2016 , 0.4036 , 7209 
-1.1916 , 0.4133 , 7215 
-1.1816 , 0.4230 , 7209 
-1.1716 , 0.4326 , 7209 
-1.1616 , 0.4422 , 7209 
-1.1516 , 0.4517 , 7209 
-1.1416 , 0.4611 , 7209 
-1.1316 , 0.4705 , 7209 
-1.1216 , 0.4799 , 7210 
-1.1116 , 0.4891 , 7209 
-1.1016 , 0.4984 , 7209 
-1.0916 , 0.5075 , 7211 
-1.0816 , 0.5167 , 7209 
-1.0716 , 0.5257 , 7210 
-1.0616 , 0.5347 , 7209 
-1.0516 , 0.5436 , 7209 
-1.0416 , 0.5525 , 7209 
-1.0316 , 0.5613 , 7209 
-1.0216 , 0.5700 , 7210 
-1.0116 , 0.5787 , 7209 
-1.0016 , 0.5873 , 7209 
-0.9916 , 0.5958 , 7209 
-0.9816 , 0.6043 , 7209 
-0.9716 , 0.6127 , 7211 
-0.9616 , 0.6210 , 7210 
-0.9516 , 0.6293 , 7209 
-0.9416 , 0.6375 , 7209 
-0.9316 , 0.6456 , 7209 
-0.9216 , 0.6537 , 7209 
-0.9116 , 0.6617 , 7210 
-0.9016 , 0.6696 , 7209 
-0.8916 , 0.6774 , 7209 
-0.8816 , 0.6852 , 7209 
-0.8716 , 0.6929 , 7209 
-0.8616 , 0.7005 , 7211 
-0.8516 , 0.7080 , 7209 
-0.8416 , 0.7155 , 7209 
-0.8316 , 0.7229 , 7209 
-0.8216 , 0.7302 , 7209 
-0.8116 , 0.7374 , 7209 
-0.8016 , 0.7445 , 7210 
-0.7916 , 0.7516 , 7212 
-0.7816 , 0.7586 , 7209 
-0.7716 , 0.7655 , 7209 
-0.7616 , 0.7724 , 7209 
-0.7516 , 0.7791 , 7210 
-0.7416 , 0.7858 , 7209 
-0.7316 , 0.7924 , 7209 
-0.7216 , 0.7989 , 7209 
-0.7116 , 0.8053 , 7209 
-0.7016 , 0.8117 , 7209 
-0.6916 , 0.8179 , 7209 
-0.6816 , 0.8241 , 7209 
-0.6716 , 0.8302 , 8148 
-0.6616 , 0.8362 , 7209 
-0.6516 , 0.8421 , 7209 
-0.6416 , 0.8480 , 7210 
-0.6316 , 0.8537 , 7209 
-0.6216 , 0.8594 , 7209 
-0.6116 , 0.8650 , 7209 
-0.6016 , 0.8705 , 7209 
-0.5916 , 0.8759 , 7210 
-0.5816 , 0.8812 , 7209 
-0.5716 , 0.8864 , 8196 
-0.5616 , 0.8916 , 7209 
-0.5516 , 0.8966 , 7209 
-0.5416 , 0.9016 , 7210 
-0.5316 , 0.9065 , 7209 
-0.5216 , 0.9113 , 7209 
-0.5116 , 0.9160 , 7209 
-0.5016 , 0.9206 , 7209 
-0.4916 , 0.9251 , 7209 
-0.4816 , 0.9295 , 7210 
-0.4716 , 0.9338 , 7211 
-0.4616 , 0.9381 , 7209 
-0.4516 , 0.9422 , 7209 
-0.4416 , 0.9463 , 7209 
-0.4316 , 0.9503 , 7210 
-0.4216 , 0.9541 , 7209 
-0.4116 , 0.9579 , 7209 
-0.4016 , 0.9616 , 7209 
-0.3916 , 0.9652 , 7209 
-0.3816 , 0.9687 , 7209 
-0.3716 , 0.9721 , 7210 
-0.3616 , 0.9754 , 7209 
-0.3516 , 0.9786 , 7209 
-0.3416 , 0.9818 , 7209 
-0.3316 , 0.9848 , 7209 
-0.3216 , 0.9877 , 7210 
-0.3116 , 0.9906 , 7209 
-0.3016 , 0.9933 , 7209 
-0.2916 , 0.9960 , 7209 
-0.2816 , 0.9985 , 7209 
-0.2716 , 1.0010 , 7210 
-0.2616 , 1.0033 , 7209 
-0.2516 , 1.0056 , 7209 
-0.2416 , 1.0078 , 7209 
-0.2316 , 1.0098 , 7209 
-0.2216 , 1.0118 , 7209 
-0.2116 , 1.0137 , 7210 
-0.2016 , 1.0155 , 7209 
-0.1916 , 1.0171 , 7209 
-0.1816 , 1.0187 , 7209 
-0.1716 , 1.0202 , 7211 
-0.1616 , 1.0216 , 7210 
-0.1516 , 1.0229 , 7209 
-0.1416 , 1.0241 , 7209 
-0.1316 , 1.0252 , 7209 
-0.1216 , 1.0262 , 7209 
-0.1116 , 1.0270 , 7211 
