input,output,cycles taken
-1.3715 , 0.2314 , 17965
-1.3615 , 0.2419 , 17966
-1.3515 , 0.2523 , 17966
-1.3415 , 0.2627 , 17707
-1.3315 , 0.2730 , 17706
-1.3215 , 0.2833 , 17706
-1.3115 , 0.2935 , 17706
-1.3015 , 0.3038 , 17707
-1.2915 , 0.3139 , 17707
-1.2815 , 0.3241 , 17706
-1.2715 , 0.3342 , 17706
-1.2615 , 0.3442 , 17705
-1.2515 , 0.3542 , 17705
-1.2415 , 0.3642 , 17704
-1.2315 , 0.3741 , 17702
-1.2215 , 0.3840 , 17702
-1.2115 , 0.3938 , 17700
-1.2015 , 0.4036 , 17699
-1.1915 , 0.4133 , 17699
-1.1815 , 0.4230 , 17700
-1.1715 , 0.4326 , 17701
-1.1615 , 0.4421 , 17699
-1.1515 , 0.4517 , 17700
-1.1415 , 0.4611 , 17700
-1.1315 , 0.4705 , 17700
-1.1215 , 0.4798 , 17700
-1.1115 , 0.4891 , 17699
-1.1015 , 0.4984 , 17959
-1.0915 , 0.5075 , 17959
-1.0815 , 0.5166 , 17959
-1.0715 , 0.5257 , 17959
-1.0615 , 0.5347 , 17959
-1.0515 , 0.5436 , 17960
-1.0415 , 0.5525 , 18217
-1.0315 , 0.5613 , 18217
-1.0215 , 0.5700 , 18217
-1.0115 , 0.5787 , 18218
-1.0015 , 0.5873 , 18220
-0.9915 , 0.5958 , 18220
-0.9815 , 0.6043 , 18221
-0.9715 , 0.6127 , 18222
-0.9615 , 0.6210 , 18226
-0.9515 , 0.6293 , 18226
-0.9415 , 0.6375 , 18226
-0.9315 , 0.6456 , 18228
-0.9215 , 0.6537 , 18233
-0.9115 , 0.6616 , 18234
-0.9015 , 0.6695 , 18232
-0.8915 , 0.6774 , 18231
-0.8815 , 0.6851 , 18491
-0.8715 , 0.6928 , 18489
-0.8615 , 0.7004 , 18490
-0.8515 , 0.7080 , 18494
-0.8415 , 0.7154 , 18494
-0.8315 , 0.7228 , 18492
-0.8215 , 0.7301 , 18490
-0.8115 , 0.7374 , 18490
-0.8015 , 0.7445 , 18493
-0.7915 , 0.7516 , 18492
-0.7815 , 0.7586 , 18496
-0.7715 , 0.7655 , 18494
-0.7615 , 0.7723 , 18489
-0.7515 , 0.7791 , 18490
-0.7415 , 0.7858 , 18491
-0.7315 , 0.7924 , 18493
-0.7215 , 0.7989 , 18493
-0.7115 , 0.8053 , 18494
-0.7015 , 0.8117 , 18497
-0.6915 , 0.8179 , 18496
-0.6815 , 0.8241 , 18493
-0.6715 , 0.8302 , 18492
-0.6615 , 0.8362 , 18492
-0.6515 , 0.8421 , 18488
-0.6415 , 0.8480 , 18488
-0.6315 , 0.8537 , 18486
-0.6215 , 0.8594 , 18485
-0.6115 , 0.8650 , 18481
-0.6015 , 0.8705 , 18481
-0.5915 , 0.8759 , 18479
-0.5815 , 0.8812 , 18478
-0.5715 , 0.8864 , 18479
-0.5615 , 0.8916 , 18479
-0.5515 , 0.8966 , 18480
-0.5415 , 0.9016 , 18479
-0.5315 , 0.9065 , 18480
-0.5215 , 0.9112 , 18480
-0.5115 , 0.9159 , 18481
-0.5015 , 0.9205 , 18484
-0.4915 , 0.9251 , 18481
-0.4815 , 0.9295 , 18482
-0.4715 , 0.9338 , 18481
-0.4615 , 0.9381 , 18482
-0.4515 , 0.9422 , 18481
-0.4415 , 0.9463 , 18482
-0.4315 , 0.9502 , 18485
-0.4215 , 0.9541 , 18483
-0.4115 , 0.9579 , 18481
-0.4015 , 0.9616 , 18480
-0.3915 , 0.9652 , 18480
-0.3815 , 0.9687 , 18479
-0.3715 , 0.9721 , 18479
-0.3615 , 0.9754 , 18478
-0.3515 , 0.9786 , 18479
-0.3415 , 0.9817 , 18478
-0.3315 , 0.9848 , 18480
-0.3215 , 0.9877 , 18481
-0.3115 , 0.9905 , 18484
-0.3015 , 0.9933 , 18480
-0.2915 , 0.9959 , 18480
-0.2815 , 0.9985 , 18478
-0.2715 , 1.0009 , 18478
-0.2615 , 1.0033 , 18477
-0.2515 , 1.0056 , 18737
-0.2415 , 1.0077 , 18738
-0.2315 , 1.0098 , 18741
-0.2215 , 1.0118 , 18741
-0.2115 , 1.0136 , 18739
-0.2015 , 1.0154 , 18740
-0.1915 , 1.0171 , 18742
-0.1815 , 1.0187 , 18742
-0.1715 , 1.0202 , 18740
-0.1615 , 1.0215 , 18738
-0.1515 , 1.0228 , 18736
-0.1415 , 1.0240 , 18737
-0.1315 , 1.0251 , 18737
-0.1215 , 1.0261 , 18736
-0.1115 , 1.0270 , 18732
-0.1015 , 1.0278 , 18731
-0.0915 , 1.0285 , 18732
-0.0815 , 1.0291 , 18733
-0.0715 , 1.0296 , 18733
-0.0615 , 1.0300 , 18736
-0.0515 , 1.0303 , 18738
-0.0415 , 1.0305 , 18742
-0.0315 , 1.0306 , 18739
-0.0215 , 1.0306 , 18737
-0.0115 , 1.0305 , 18735
-0.0015 , 1.0303 , 18735
0.0084 , 1.0300 , 18735
0.0184 , 1.0296 , 18736
0.0284 , 1.0291 , 18739
0.0384 , 1.0285 , 18480
0.0484 , 1.0278 , 18478
0.0584 , 1.0269 , 18476
0.0684 , 1.0260 , 18476
0.0784 , 1.0250 , 18474
0.0884 , 1.0239 , 18473
0.0984 , 1.0227 , 18473
0.1084 , 1.0214 , 18220
0.1184 , 1.0200 , 18222
0.1284 , 1.0185 , 18225
0.1384 , 1.0169 , 18221
0.1484 , 1.0152 , 18220
0.1584 , 1.0133 , 18218
0.1684 , 1.0114 , 18219
0.1784 , 1.0094 , 18218
0.1884 , 1.0073 , 18218
0.1984 , 1.0051 , 18219
0.2084 , 1.0028 , 18219
0.2184 , 1.0003 , 17966
0.2284 , 0.9978 , 17965
0.2384 , 0.9952 , 17964
0.2484 , 0.9925 , 17964
0.2584 , 0.9897 , 17963
0.2684 , 0.9867 , 17962
0.2784 , 0.9837 , 17962
0.2884 , 0.9806 , 17961
0.2984 , 0.9774 , 17960
0.3084 , 0.9740 , 17960
0.3184 , 0.9706 , 17960
0.3284 , 0.9671 , 17960
0.3384 , 0.9635 , 17961
0.3484 , 0.9597 , 17959
0.3584 , 0.9559 , 17959
0.3684 , 0.9520 , 17958
0.3784 , 0.9480 , 17959
0.3884 , 0.9438 , 17959
0.3984 , 0.9396 , 17960
0.4084 , 0.9353 , 17961
0.4184 , 0.9309 , 17961
0.4284 , 0.9264 , 17961
0.4384 , 0.9217 , 17963
0.4484 , 0.9170 , 17963
0.4584 , 0.9122 , 17963
0.4684 , 0.9073 , 17961
0.4784 , 0.9023 , 17963
0.4884 , 0.8972 , 17965
0.4984 , 0.8920 , 17966
0.5084 , 0.8867 , 17967
0.5184 , 0.8813 , 17967
0.5284 , 0.8758 , 17968
0.5384 , 0.8703 , 17966
0.5484 , 0.8646 , 17965
0.5584 , 0.8588 , 17964
0.5684 , 0.8529 , 17964
0.5784 , 0.8470 , 17961
0.5884 , 0.8409 , 17963
0.5984 , 0.8348 , 17963
0.6084 , 0.8286 , 17963
0.6184 , 0.8222 , 17963
0.6284 , 0.8158 , 17964
0.6384 , 0.8093 , 17965
0.6484 , 0.8027 , 17965
0.6584 , 0.7960 , 17965
0.6684 , 0.7893 , 17964
0.6784 , 0.7824 , 17963
0.6884 , 0.7754 , 17963
0.6984 , 0.7684 , 17966
0.7084 , 0.7613 , 17967
0.7184 , 0.7541 , 17968
0.7284 , 0.7468 , 17967
0.7384 , 0.7394 , 17970
0.7484 , 0.7319 , 17968
0.7584 , 0.7244 , 17968
0.7684 , 0.7167 , 17974
0.7784 , 0.7090 , 17969
0.7884 , 0.7012 , 17969
0.7984 , 0.6934 , 17968
0.8084 , 0.6854 , 17968
0.8184 , 0.6774 , 17967
0.8284 , 0.6693 , 17968
0.8384 , 0.6611 , 17971
0.8484 , 0.6528 , 17968
0.8584 , 0.6445 , 17968
0.8684 , 0.6361 , 17713
0.8784 , 0.6276 , 17712
0.8884 , 0.6190 , 17714
0.8984 , 0.6104 , 17717
0.9084 , 0.6017 , 17719
0.9184 , 0.5929 , 17718
0.9284 , 0.5841 , 17722
0.9384 , 0.5751 , 17727
0.9484 , 0.5662 , 17971
0.9584 , 0.5571 , 17969
0.9684 , 0.5480 , 17966
0.9784 , 0.5388 , 18221
0.9884 , 0.5296 , 18220
0.9984 , 0.5203 , 18220
1.0084 , 0.5110 , 18219
1.0184 , 0.5015 , 18221
1.0284 , 0.4921 , 18218
1.0384 , 0.4825 , 18219
1.0484 , 0.4730 , 18222
1.0584 , 0.4633 , 18220
1.0684 , 0.4536 , 18220
1.0784 , 0.4439 , 18219
1.0884 , 0.4341 , 18219
1.0984 , 0.4242 , 18219
1.1084 , 0.4143 , 18218
1.1184 , 0.4044 , 18217
1.1284 , 0.3944 , 18217
1.1384 , 0.3843 , 18216
1.1484 , 0.3743 , 18216
1.1584 , 0.3641 , 18218
1.1684 , 0.3540 , 18217
1.1784 , 0.3438 , 17960
1.1884 , 0.3335 , 17960
1.1984 , 0.3232 , 17959
1.2084 , 0.3129 , 17958
1.2184 , 0.3026 , 17958
1.2284 , 0.2922 , 17958
1.2384 , 0.2817 , 17958
1.2484 , 0.2713 , 17958
1.2584 , 0.2608 , 17958
1.2684 , 0.2503 , 17957
1.2784 , 0.2397 , 17957
1.2884 , 0.2292 , 17958
1.2984 , 0.2186 , 17957
1.3084 , 0.2080 , 17956
1.3184 , 0.1973 , 17956
1.3284 , 0.1867 , 17956
1.3384 , 0.1760 , 17956
1.3484 , 0.1653 , 17956
1.3584 , 0.1546 , 17957
1.3684 , 0.1439 , 17957
1.3784 , 0.1331 , 17957
1.3884 , 0.1224 , 17959
1.3984 , 0.1116 , 17960
1.4084 , 0.1008 , 17960
1.4184 , 0.0901 , 17960
1.4284 , 0.0793 , 17961
1.4384 , 0.0685 , 17960
1.4484 , 0.0577 , 17961
1.4584 , 0.0469 , 17704
1.4684 , 0.0361 , 17704
1.4784 , 0.0253 , 17706
1.4884 , 0.0145 , 17708
1.4984 , 0.0037 , 17710
1.5084 , -0.0070 , 17710
1.5184 , -0.0178 , 17709
1.5284 , -0.0286 , 17709
1.5384 , -0.0394 , 17709
1.5484 , -0.0502 , 17709
1.5584 , -0.0609 , 17710
1.5684 , -0.0717 , 17710
1.5784 , -0.0824 , 17712
1.5884 , -0.0932 , 17716
1.5984 , -0.1039 , 17715
1.6084 , -0.1146 , 17714
1.6184 , -0.1252 , 17716
1.6284 , -0.1359 , 17716
1.6384 , -0.1465 , 17721
1.6484 , -0.1572 , 17723
1.6584 , -0.1678 , 17719
1.6684 , -0.1783 , 17716
1.6784 , -0.1889 , 17716
1.6884 , -0.1994 , 17714
1.6984 , -0.2099 , 17711
1.7084 , -0.2204 , 17712
1.7184 , -0.2308 , 17712
1.7284 , -0.2413 , 17712
1.7384 , -0.2516 , 17711
1.7484 , -0.2620 , 17711
1.7584 , -0.2723 , 17710
1.7684 , -0.2826 , 17710
1.7784 , -0.2928 , 17710
1.7884 , -0.3031 , 17709
1.7984 , -0.3132 , 17710
1.8084 , -0.3234 , 17710
1.8184 , -0.3335 , 17709
1.8284 , -0.3435 , 17710
1.8384 , -0.3536 , 17712
1.8484 , -0.3635 , 17715
1.8584 , -0.3735 , 17713
1.8684 , -0.3834 , 17713
1.8784 , -0.3932 , 17713
1.8884 , -0.4030 , 17716
1.8984 , -0.4127 , 17720
1.9084 , -0.4225 , 17718
1.9184 , -0.4321 , 17718
1.9284 , -0.4417 , 17717
1.9384 , -0.4513 , 17721
1.9484 , -0.4608 , 17717
1.9584 , -0.4702 , 17715
1.9684 , -0.4796 , 17715
1.9784 , -0.4890 , 17714
1.9884 , -0.4983 , 17714
1.9984 , -0.5075 , 17714
2.0084 , -0.5167 , 17714
2.0184 , -0.5258 , 17716
2.0284 , -0.5349 , 17717
2.0384 , -0.5439 , 18232
2.0484 , -0.5529 , 18232
2.0584 , -0.5618 , 18230
2.0684 , -0.5706 , 18232
2.0784 , -0.5794 , 18233
2.0884 , -0.5881 , 18231
2.0984 , -0.5967 , 18231
2.1084 , -0.6053 , 18233
2.1184 , -0.6138 , 18232
2.1284 , -0.6223 , 18231
2.1384 , -0.6307 , 18227
2.1484 , -0.6390 , 18227
2.1584 , -0.6473 , 18228
2.1684 , -0.6555 , 18228
2.1784 , -0.6636 , 18228
2.1884 , -0.6717 , 18226
2.1984 , -0.6797 , 18228
2.2084 , -0.6876 , 18228
2.2184 , -0.6955 , 18228
2.2284 , -0.7032 , 18231
2.2384 , -0.7110 , 18231
2.2484 , -0.7186 , 18229
2.2584 , -0.7262 , 18230
2.2684 , -0.7337 , 18230
2.2784 , -0.7411 , 18232
2.2884 , -0.7485 , 18232
2.2984 , -0.7558 , 18231
2.3084 , -0.7630 , 18230
2.3184 , -0.7701 , 18230
2.3284 , -0.7772 , 18231
2.3384 , -0.7842 , 18232
2.3484 , -0.7911 , 18235
2.3584 , -0.7979 , 18241
2.3684 , -0.8047 , 18237
2.3784 , -0.8113 , 18237
2.3884 , -0.8179 , 18240
2.3984 , -0.8245 , 18234
2.4084 , -0.8309 , 18233
2.4184 , -0.8373 , 18233
2.4284 , -0.8436 , 18233
2.4384 , -0.8498 , 17974
2.4484 , -0.8559 , 17971
2.4584 , -0.8620 , 17973
2.4684 , -0.8679 , 17972
2.4784 , -0.8738 , 17972
2.4884 , -0.8796 , 17972
2.4984 , -0.8854 , 17973
2.5084 , -0.8910 , 17972
2.5184 , -0.8966 , 17972
2.5284 , -0.9020 , 17979
2.5384 , -0.9074 , 17971
2.5484 , -0.9127 , 17968
2.5584 , -0.9180 , 17969
2.5684 , -0.9231 , 17968
2.5784 , -0.9282 , 17966
2.5884 , -0.9331 , 17966
2.5984 , -0.9380 , 17965
2.6084 , -0.9428 , 18220
2.6184 , -0.9475 , 18218
2.6284 , -0.9522 , 18217
2.6384 , -0.9567 , 18217
