input,output,cycles taken
-1.3715 , 0.2314 , 227410
-1.3615 , 0.2418 , 227455
-1.3515 , 0.2523 , 227685
-1.3415 , 0.2626 , 227905
-1.3315 , 0.2730 , 228210
-1.3215 , 0.2833 , 227910
-1.3115 , 0.2935 , 228150
-1.3015 , 0.3037 , 228245
-1.2915 , 0.3139 , 228575
-1.2815 , 0.3240 , 228450
-1.2715 , 0.3341 , 228245
-1.2615 , 0.3442 , 228725
-1.2515 , 0.3542 , 228200
-1.2415 , 0.3642 , 228470
-1.2315 , 0.3741 , 228020
-1.2215 , 0.3839 , 227200
-1.2115 , 0.3938 , 227315
-1.2015 , 0.4035 , 227160
-1.1915 , 0.4133 , 226915
-1.1815 , 0.4229 , 227325
-1.1715 , 0.4325 , 226665
-1.1615 , 0.4421 , 226565
-1.1515 , 0.4516 , 226295
-1.1415 , 0.4611 , 226370
-1.1315 , 0.4705 , 226355
-1.1215 , 0.4798 , 227050
-1.1115 , 0.4891 , 227045
-1.1015 , 0.4983 , 227045
-1.0915 , 0.5075 , 227870
-1.0815 , 0.5166 , 228075
-1.0715 , 0.5257 , 228055
-1.0615 , 0.5346 , 228420
-1.0515 , 0.5436 , 227900
-1.0415 , 0.5524 , 228300
-1.0315 , 0.5612 , 228205
-1.0215 , 0.5700 , 228545
-1.0115 , 0.5786 , 228525
-1.0015 , 0.5872 , 228295
-0.9915 , 0.5958 , 228345
-0.9815 , 0.6043 , 228585
-0.9715 , 0.6127 , 228235
-0.9615 , 0.6210 , 228155
-0.9515 , 0.6293 , 227600
-0.9415 , 0.6374 , 227955
-0.9315 , 0.6456 , 228595
-0.9215 , 0.6536 , 227845
-0.9115 , 0.6616 , 227340
-0.9015 , 0.6695 , 227215
-0.8915 , 0.6774 , 227675
-0.8815 , 0.6851 , 227285
-0.8715 , 0.6928 , 227390
-0.8615 , 0.7004 , 227510
-0.8515 , 0.7080 , 227175
-0.8415 , 0.7154 , 226905
-0.8315 , 0.7228 , 227115
-0.8215 , 0.7301 , 227145
-0.8115 , 0.7373 , 227315
-0.8015 , 0.7445 , 227135
-0.7915 , 0.7516 , 227095
-0.7815 , 0.7586 , 227550
-0.7715 , 0.7655 , 227240
-0.7615 , 0.7723 , 227235
-0.7515 , 0.7791 , 227235
-0.7415 , 0.7857 , 227290
-0.7315 , 0.7923 , 227285
-0.7215 , 0.7989 , 227645
-0.7115 , 0.8053 , 227630
-0.7015 , 0.8116 , 227385
-0.6915 , 0.8179 , 227565
-0.6815 , 0.8241 , 227385
-0.6715 , 0.8302 , 227370
-0.6615 , 0.8362 , 227415
-0.6515 , 0.8421 , 226950
-0.6415 , 0.8479 , 227145
-0.6315 , 0.8537 , 226935
-0.6215 , 0.8594 , 227490
-0.6115 , 0.8649 , 227100
-0.6015 , 0.8704 , 227025
-0.5915 , 0.8758 , 227200
-0.5815 , 0.8812 , 227360
-0.5715 , 0.8864 , 227575
-0.5615 , 0.8915 , 227085
-0.5515 , 0.8966 , 227050
-0.5415 , 0.9016 , 227120
-0.5315 , 0.9064 , 227035
-0.5215 , 0.9112 , 227430
-0.5115 , 0.9159 , 227530
-0.5015 , 0.9205 , 227805
-0.4915 , 0.9250 , 227385
-0.4815 , 0.9295 , 227120
-0.4715 , 0.9338 , 227640
-0.4615 , 0.9380 , 227740
-0.4515 , 0.9422 , 227285
-0.4415 , 0.9463 , 227495
-0.4315 , 0.9502 , 227470
-0.4215 , 0.9541 , 227125
-0.4115 , 0.9579 , 227610
-0.4015 , 0.9616 , 227700
-0.3915 , 0.9652 , 227570
-0.3815 , 0.9687 , 227455
-0.3715 , 0.9721 , 227375
-0.3615 , 0.9754 , 227085
-0.3515 , 0.9786 , 226840
-0.3415 , 0.9817 , 226720
-0.3315 , 0.9848 , 226790
-0.3215 , 0.9877 , 227000
-0.3115 , 0.9905 , 227190
-0.3015 , 0.9933 , 227175
-0.2915 , 0.9959 , 227170
-0.2815 , 0.9985 , 226770
-0.2715 , 1.0009 , 226745
-0.2615 , 1.0033 , 226505
-0.2515 , 1.0055 , 226255
-0.2415 , 1.0077 , 226170
-0.2315 , 1.0098 , 226530
-0.2215 , 1.0118 , 226250
-0.2115 , 1.0136 , 226295
-0.2015 , 1.0154 , 226050
-0.1915 , 1.0171 , 226060
-0.1815 , 1.0187 , 225995
-0.1715 , 1.0202 , 225800
-0.1615 , 1.0215 , 225755
-0.1515 , 1.0228 , 225675
-0.1415 , 1.0240 , 225850
-0.1315 , 1.0251 , 226245
-0.1215 , 1.0261 , 225945
-0.1115 , 1.0270 , 225475
-0.1015 , 1.0278 , 225575
-0.0915 , 1.0285 , 224965
-0.0815 , 1.0291 , 225530
-0.0715 , 1.0296 , 225180
-0.0615 , 1.0300 , 225780
-0.0515 , 1.0303 , 225755
-0.0415 , 1.0305 , 225685
-0.0315 , 1.0306 , 225445
-0.0215 , 1.0306 , 225565
-0.0115 , 1.0305 , 225635
-0.0015 , 1.0303 , 225870
0.0084 , 1.0300 , 225820
0.0184 , 1.0296 , 226145
0.0284 , 1.0291 , 225980
0.0384 , 1.0285 , 225665
0.0484 , 1.0278 , 226345
0.0584 , 1.0269 , 226175
0.0684 , 1.0260 , 226565
0.0784 , 1.0250 , 226545
0.0884 , 1.0239 , 226415
0.0984 , 1.0227 , 226555
0.1084 , 1.0214 , 226810
0.1184 , 1.0200 , 226655
0.1284 , 1.0185 , 226945
0.1384 , 1.0169 , 226770
0.1484 , 1.0152 , 227375
0.1584 , 1.0134 , 227140
0.1684 , 1.0114 , 227000
0.1784 , 1.0094 , 227000
0.1884 , 1.0073 , 226975
0.1984 , 1.0051 , 226510
0.2084 , 1.0028 , 226400
0.2184 , 1.0004 , 226755
0.2284 , 0.9978 , 226865
0.2384 , 0.9952 , 227060
0.2484 , 0.9925 , 227150
0.2584 , 0.9897 , 227465
0.2684 , 0.9867 , 227155
0.2784 , 0.9837 , 227260
0.2884 , 0.9806 , 227550
0.2984 , 0.9774 , 227675
0.3084 , 0.9741 , 227325
0.3184 , 0.9706 , 227295
0.3284 , 0.9671 , 227495
0.3384 , 0.9635 , 227345
0.3484 , 0.9597 , 227345
0.3584 , 0.9559 , 227210
0.3684 , 0.9520 , 227035
0.3784 , 0.9480 , 226750
0.3884 , 0.9439 , 227110
0.3984 , 0.9396 , 227580
0.4084 , 0.9353 , 227470
0.4184 , 0.9309 , 227210
0.4284 , 0.9264 , 227385
0.4384 , 0.9218 , 227075
0.4484 , 0.9170 , 227115
0.4584 , 0.9122 , 227300
0.4684 , 0.9073 , 226920
0.4784 , 0.9023 , 226845
0.4884 , 0.8972 , 226760
0.4984 , 0.8920 , 226585
0.5084 , 0.8867 , 226760
0.5184 , 0.8813 , 226475
0.5284 , 0.8759 , 226835
0.5384 , 0.8703 , 226840
0.5484 , 0.8646 , 227080
0.5584 , 0.8588 , 226940
0.5684 , 0.8530 , 226950
0.5784 , 0.8470 , 227075
0.5884 , 0.8410 , 227250
0.5984 , 0.8348 , 227450
0.6084 , 0.8286 , 227805
0.6184 , 0.8223 , 227415
0.6284 , 0.8158 , 227450
0.6384 , 0.8093 , 228015
0.6484 , 0.8027 , 228350
0.6584 , 0.7961 , 227845
0.6684 , 0.7893 , 227485
0.6784 , 0.7824 , 227970
0.6884 , 0.7755 , 227470
0.6984 , 0.7684 , 227935
0.7084 , 0.7613 , 227850
