input,output,cycles taken 
-1.3615 , 0.2314 , 61290
-1.3515 , 0.2418 , 61338
-1.3415 , 0.2523 , 61410
-1.3315 , 0.2626 , 61393
-1.3215 , 0.2730 , 61341
-1.3115 , 0.2833 , 61513
-1.3015 , 0.2935 , 61342
-1.2915 , 0.3037 , 61423
-1.2815 , 0.3139 , 61591
-1.2715 , 0.3240 , 61701
-1.2615 , 0.3341 , 61547
-1.2515 , 0.3442 , 61491
-1.2415 , 0.3542 , 61622
-1.2315 , 0.3642 , 61470
-1.2215 , 0.3741 , 61317
-1.2115 , 0.3839 , 61257
-1.2015 , 0.3938 , 61185
-1.1915 , 0.4035 , 61273
-1.1815 , 0.4133 , 61369
-1.1715 , 0.4229 , 61351
-1.1615 , 0.4325 , 61275
-1.1515 , 0.4421 , 61052
-1.1415 , 0.4516 , 61180
-1.1315 , 0.4611 , 61052
-1.1215 , 0.4705 , 61040
-1.1115 , 0.4798 , 61172
-1.1015 , 0.4891 , 61131
-1.0915 , 0.4983 , 61398
-1.0815 , 0.5075 , 61347
-1.0715 , 0.5166 , 61398
-1.0615 , 0.5257 , 61417
-1.0515 , 0.5346 , 61455
-1.0415 , 0.5436 , 61392
-1.0315 , 0.5524 , 61499
-1.0215 , 0.5612 , 61492
-1.0115 , 0.5700 , 61554
-1.0015 , 0.5786 , 61346
-0.9915 , 0.5872 , 61491
-0.9815 , 0.5958 , 61320
-0.9715 , 0.6043 , 61554
-0.9615 , 0.6127 , 61499
-0.9515 , 0.6210 , 61346
-0.9415 , 0.6293 , 61352
-0.9315 , 0.6374 , 61493
-0.9215 , 0.6456 , 61385
-0.9115 , 0.6536 , 61621
-0.9015 , 0.6616 , 61374
-0.8915 , 0.6695 , 61583
-0.8815 , 0.6774 , 61438
-0.8715 , 0.6851 , 61476
-0.8615 , 0.6928 , 61559
-0.8515 , 0.7004 , 61596
-0.8415 , 0.7080 , 61715
-0.8315 , 0.7154 , 61711
-0.8215 , 0.7228 , 61516
-0.8115 , 0.7301 , 61674
-0.8015 , 0.7373 , 61574
-0.7915 , 0.7445 , 61431
-0.7815 , 0.7516 , 61728
-0.7715 , 0.7586 , 61479
-0.7615 , 0.7655 , 61462
-0.7515 , 0.7723 , 61440
-0.7415 , 0.7791 , 61664
-0.7315 , 0.7857 , 61525
-0.7215 , 0.7923 , 61455
-0.7115 , 0.7989 , 61593
-0.7015 , 0.8053 , 61633
-0.6915 , 0.8116 , 61517
-0.6815 , 0.8179 , 61518
-0.6715 , 0.8241 , 61506
-0.6615 , 0.8302 , 61590
-0.6515 , 0.8362 , 61632
-0.6415 , 0.8421 , 61583
-0.6315 , 0.8479 , 61802
-0.6215 , 0.8537 , 61771
-0.6115 , 0.8594 , 61638
-0.6015 , 0.8649 , 61710
-0.5915 , 0.8704 , 61607
-0.5815 , 0.8758 , 61728
-0.5715 , 0.8812 , 61604
-0.5615 , 0.8864 , 61668
-0.5515 , 0.8915 , 61435
-0.5415 , 0.8966 , 61413
-0.5315 , 0.9016 , 61509
-0.5215 , 0.9064 , 61646
-0.5115 , 0.9112 , 61537
-0.5015 , 0.9159 , 61705
-0.4915 , 0.9205 , 61687
